Dataset (10 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
Overall,0.6±0.29,0.46±0.28,0.37±0.24,0.51±0.3,0.6±0.32,0.43±0.31,0.35±0.19,0.55±0.28


Dataset (70 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
id_1,0.75±0.0,0.25±0.0,0.22±0.18,0.5±0.0,0.0±0.0,0.0±0.0,0.26±0.2,0.25±0.0
id_2,0.5±0.0,0.5±0.0,0.38±0.28,0.5±0.0,1.0±0.0,0.5±0.0,0.67±0.23,0.5±0.0
id_3,0.43±0.0,0.14±0.0,0.21±0.1,0.29±0.0,0.71±0.0,0.29±0.0,0.35±0.13,0.43±0.0
id_4,1.0±0.0,0.33±0.0,0.83±0.17,0.67±0.0,1.0±0.0,0.33±0.0,0.83±0.17,1.0±0.0
id_5,0.88±0.0,0.62±0.0,0.41±0.11,0.88±0.0,0.5±0.0,0.12±0.0,0.37±0.09,0.75±0.0
id_6,0.5±0.0,0.5±0.0,0.53±0.24,0.67±0.0,0.83±0.0,0.33±0.0,0.54±0.14,0.5±0.0
id_7,0.25±0.0,0.25±0.0,0.3±0.1,0.25±0.0,0.5±0.0,0.25±0.0,0.35±0.15,0.25±0.0
id_8,0.33±0.0,0.33±0.0,0.28±0.13,0.33±0.0,0.5±0.0,0.33±0.0,0.27±0.11,0.33±0.0
id_9,0.4±0.0,0.4±0.0,0.28±0.1,0.2±0.0,0.4±0.0,0.4±0.0,0.28±0.11,0.2±0.0
id_10,1.0±0.0,1.0±0.0,0.6±0.23,1.0±0.0,0.5±0.0,0.75±0.0,0.39±0.17,1.0±0.0
id_11,1.0±0.0,1.0±0.0,0.63±0.18,1.0±0.0,1.0±0.0,1.0±0.0,0.41±0.14,1.0±0.0
id_12,0.75±0.0,0.75±0.0,0.5±0.0,0.75±0.0,0.75±0.0,0.75±0.0,0.51±0.1,0.75±0.0
id_13,0.67±0.0,0.67±0.0,0.63±0.1,0.67±0.0,0.67±0.0,0.67±0.0,0.52±0.17,0.67±0.0
id_14,0.5±0.0,0.5±0.0,0.5±0.0,0.5±0.0,0.5±0.0,0.5±0.0,0.52±0.08,0.5±0.0
id_15,1.0±0.0,1.0±0.0,0.85±0.23,1.0±0.0,1.0±0.0,1.0±0.0,0.53±0.12,1.0±0.0
Overall,0.66±0.26,0.55±0.28,0.48±0.26,0.61±0.27,0.66±0.28,0.48±0.29,0.45±0.21,0.61±0.29


Dataset (80 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
id_1,0.75±0.0,0.5±0.0,0.35±0.2,0.5±0.0,0.5±0.0,0.25±0.0,0.43±0.23,0.5±0.0
id_2,1.0±0.0,0.75±0.0,0.8±0.15,0.75±0.0,1.0±0.0,0.75±0.0,0.85±0.18,1.0±0.0
id_3,0.57±0.0,0.57±0.0,0.46±0.11,0.57±0.0,0.86±0.0,0.57±0.0,0.57±0.15,0.71±0.0
id_4,1.0±0.0,0.67±0.0,0.9±0.15,1.0±0.0,1.0±0.0,0.67±0.0,0.92±0.14,1.0±0.0
id_5,0.88±0.0,0.75±0.0,0.54±0.11,0.88±0.0,0.62±0.0,0.38±0.0,0.48±0.1,0.75±0.0
id_6,0.83±0.0,0.67±0.0,0.65±0.22,0.67±0.0,1.0±0.0,0.33±0.0,0.76±0.16,0.67±0.0
id_7,0.25±0.0,0.25±0.0,0.4±0.2,0.25±0.0,0.75±0.0,0.25±0.0,0.51±0.21,0.25±0.0
id_8,0.67±0.0,0.5±0.0,0.4±0.13,0.33±0.0,0.5±0.0,0.5±0.0,0.41±0.18,0.5±0.0
id_9,0.4±0.0,0.4±0.0,0.44±0.17,0.4±0.0,1.0±0.0,0.4±0.0,0.38±0.17,0.4±0.0
id_10,1.0±0.0,1.0±0.0,0.8±0.19,1.0±0.0,0.75±0.0,0.75±0.0,0.56±0.2,1.0±0.0
id_11,1.0±0.0,1.0±0.0,0.9±0.15,1.0±0.0,1.0±0.0,1.0±0.0,0.49±0.17,1.0±0.0
id_12,0.75±0.0,0.75±0.0,0.6±0.12,0.75±0.0,0.75±0.0,0.75±0.0,0.65±0.17,0.75±0.0
id_13,0.67±0.0,0.67±0.0,0.67±0.0,0.67±0.0,0.67±0.0,0.67±0.0,0.64±0.15,0.67±0.0
id_14,0.5±0.0,0.5±0.0,0.52±0.08,0.5±0.0,0.75±0.0,0.5±0.0,0.57±0.11,0.5±0.0
id_15,1.0±0.0,1.0±0.0,0.95±0.15,1.0±0.0,1.0±0.0,1.0±0.0,0.62±0.21,1.0±0.0
Overall,0.75±0.23,0.66±0.21,0.63±0.25,0.68±0.25,0.81±0.18,0.58±0.23,0.59±0.23,0.71±0.24


Dataset (90 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
id_1,0.75±0.0,0.75±0.0,0.65±0.25,0.75±0.0,0.75±0.0,0.5±0.0,0.75±0.2,0.75±0.0
id_2,1.0±0.0,1.0±0.0,0.98±0.08,1.0±0.0,1.0±0.0,1.0±0.0,0.93±0.11,1.0±0.0
id_3,0.57±0.0,0.57±0.0,0.71±0.16,0.71±0.0,0.86±0.0,0.57±0.0,0.77±0.15,0.71±0.0
id_4,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,0.67±0.0,1.0±0.0,1.0±0.0
id_5,0.88±0.0,0.75±0.0,0.72±0.09,0.88±0.0,0.62±0.0,0.38±0.0,0.73±0.12,0.88±0.0
id_6,0.83±0.0,0.83±0.0,0.85±0.17,0.83±0.0,1.0±0.0,1.0±0.0,0.89±0.1,0.83±0.0
id_7,0.5±0.0,0.75±0.0,0.55±0.1,0.5±0.0,0.75±0.0,0.25±0.0,0.74±0.15,0.5±0.0
id_8,0.67±0.0,0.67±0.0,0.58±0.15,0.67±0.0,0.83±0.0,0.83±0.0,0.64±0.18,0.67±0.0
id_9,0.6±0.0,0.6±0.0,0.66±0.18,0.8±0.0,1.0±0.0,0.4±0.0,0.67±0.15,0.8±0.0
id_10,1.0±0.0,1.0±0.0,0.95±0.1,1.0±0.0,0.75±0.0,0.75±0.0,0.8±0.19,1.0±0.0
id_11,1.0±0.0,1.0±0.0,0.93±0.13,1.0±0.0,1.0±0.0,1.0±0.0,0.69±0.23,1.0±0.0
id_12,0.75±0.0,0.75±0.0,0.72±0.13,0.75±0.0,0.75±0.0,0.75±0.0,0.78±0.18,0.75±0.0
id_13,0.67±0.0,1.0±0.0,0.7±0.1,1.0±0.0,0.67±0.0,1.0±0.0,0.79±0.16,0.67±0.0
id_14,0.5±0.0,0.5±0.0,0.68±0.2,0.75±0.0,0.75±0.0,0.75±0.0,0.72±0.18,0.5±0.0
id_15,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,0.73±0.25,1.0±0.0
Overall,0.78±0.19,0.81±0.17,0.78±0.21,0.84±0.15,0.85±0.13,0.72±0.25,0.78±0.19,0.8±0.17


Dataset (100 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
id_1,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_2,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_3,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_4,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_5,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_6,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_7,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_8,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_9,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_10,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_11,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_12,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_13,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_14,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_15,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
Overall,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0


Dataset (First mode),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
id_1,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_2,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_3,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_4,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_5,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_6,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_7,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_8,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,0.97±0.16,1.0±0.0
id_9,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_10,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_11,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_12,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,0.97±0.16,1.0±0.0
id_13,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_14,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_15,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,0.94±0.22,1.0±0.0
Overall,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0


Dataset (All mode),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
id_1,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_2,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_3,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_4,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_5,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_6,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_7,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_8,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_9,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_10,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_11,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_12,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_13,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_14,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
id_15,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
Overall,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0


